what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1358659011470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358659013093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1358659015138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659015157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659020853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1358659021795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659021818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659029823
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1358659033477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659035105
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1358659036373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659039753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659046722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358659057154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659057212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659060305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659066568
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1358659070611
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1358659071376
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1358659072318
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1358659075686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659076913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358659085024
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1358659087103
